BRAND_NAME,COMP_NAME,MOLECULE_NAME,THERAPY_AREA,SEGMENT,REGION,PERIOD,MAT_VAL,PREV_MAT_VAL,MAT_UNITS,PREV_MAT_UNITS
Fungiclear,Vantiva Healthcare,Luliconazole,Dermatology,Antifungals,North,MAT Aug 2026,272215332,222838333,825019,706788
Fungiclear,Vantiva Healthcare,Luliconazole,Dermatology,Antifungals,South,MAT Aug 2026,749366847,570430945,2222676,1770649
Fungiclear,Vantiva Healthcare,Luliconazole,Dermatology,Antifungals,West,MAT Aug 2026,322511635,251613308,986082,805098
Fungiclear,Vantiva Healthcare,Luliconazole,Dermatology,Antifungals,East,MAT Aug 2026,232908342,191758979,734649,632993
Fungiclear,Vantiva Healthcare,Luliconazole,Dermatology,Antifungals,Central,MAT Aug 2026,162997844,129564448,499658,415647
Itracare,Kritika Labs,Itraconazole,Dermatology,Antifungals,North,MAT Aug 2026,284264817,249163857,1093442,1021373
Itracare,Kritika Labs,Itraconazole,Dermatology,Antifungals,South,MAT Aug 2026,289932058,238660512,1111940,975422
Itracare,Kritika Labs,Itraconazole,Dermatology,Antifungals,West,MAT Aug 2026,272558672,230658297,973987,878393
Itracare,Kritika Labs,Itraconazole,Dermatology,Antifungals,East,MAT Aug 2026,150394079,135072660,584935,559850
Itracare,Kritika Labs,Itraconazole,Dermatology,Antifungals,Central,MAT Aug 2026,122850375,104879332,473340,430639
Itrasol,Aventra Healthcare,Itraconazole,Dermatology,Antifungals,West,MAT Aug 2026,94058805,83029253,335533,310217
Itrasol,Aventra Healthcare,Itraconazole,Dermatology,Antifungals,East,MAT Aug 2026,47691058,43039452,179959,170099
Itrasol,Aventra Healthcare,Itraconazole,Dermatology,Antifungals,Central,MAT Aug 2026,58250137,50582323,218610,198825
Itrazen,Elvia Sciences,Itraconazole,Dermatology,Antifungals,North,MAT Aug 2026,70621489,58347848,222811,194207
Itrazen,Elvia Sciences,Itraconazole,Dermatology,Antifungals,South,MAT Aug 2026,58153046,45869806,180752,150410
Itrazen,Elvia Sciences,Itraconazole,Dermatology,Antifungals,West,MAT Aug 2026,55752610,45104866,171016,145960
Itrazen,Elvia Sciences,Itraconazole,Dermatology,Antifungals,East,MAT Aug 2026,38371845,32376913,121545,108193
Itrazen,Elvia Sciences,Itraconazole,Dermatology,Antifungals,Central,MAT Aug 2026,37101010,30369580,115654,99874
Ketorin,Solvex Pharma,Ketoconazole,Dermatology,Antifungals,North,MAT Aug 2026,320006664,306008534,901796,904364
Ketorin,Solvex Pharma,Ketoconazole,Dermatology,Antifungals,South,MAT Aug 2026,251379219,227765764,693445,658918
Ketorin,Solvex Pharma,Ketoconazole,Dermatology,Antifungals,West,MAT Aug 2026,278149624,262532404,726751,719367
Ketorin,Solvex Pharma,Ketoconazole,Dermatology,Antifungals,East,MAT Aug 2026,150312794,149169380,395766,411892
Ketorin,Solvex Pharma,Ketoconazole,Dermatology,Antifungals,Central,MAT Aug 2026,210151699,202179259,542039,546883
Lulicort,Orbis Derma,Luliconazole,Dermatology,Antifungals,North,MAT Aug 2026,68934157,52610122,251418,203562
Lulicort,Orbis Derma,Luliconazole,Dermatology,Antifungals,South,MAT Aug 2026,44871039,32083114,162183,123021
Lulicort,Orbis Derma,Luliconazole,Dermatology,Antifungals,West,MAT Aug 2026,46933211,34612641,165757,129685
Lulicort,Orbis Derma,Luliconazole,Dermatology,Antifungals,East,MAT Aug 2026,26394585,20517548,102021,84133
Lulicort,Orbis Derma,Luliconazole,Dermatology,Antifungals,Central,MAT Aug 2026,32867008,24548492,114777,90946
Luliderm,Nordic Remedies India,Luliconazole,Dermatology,Antifungals,North,MAT Aug 2026,75364388,58784119,257067,213566
Luliderm,Nordic Remedies India,Luliconazole,Dermatology,Antifungals,South,MAT Aug 2026,55557916,41439672,196204,155872
Luliderm,Nordic Remedies India,Luliconazole,Dermatology,Antifungals,West,MAT Aug 2026,56743446,42923903,184190,148402
Luliderm,Nordic Remedies India,Luliconazole,Dermatology,Antifungals,East,MAT Aug 2026,44422935,34910573,155713,130336
Luliderm,Nordic Remedies India,Luliconazole,Dermatology,Antifungals,Central,MAT Aug 2026,37911315,29334223,130790,107788
Lulivan,Kestrel Biosciences,Luliconazole,Dermatology,Antifungals,North,MAT Aug 2026,82034718,52628940,289629,197587
Lulivan,Kestrel Biosciences,Luliconazole,Dermatology,Antifungals,South,MAT Aug 2026,130437333,79071791,448534,289138
Lulivan,Kestrel Biosciences,Luliconazole,Dermatology,Antifungals,West,MAT Aug 2026,74143105,46607817,273327,182709
Lulivan,Kestrel Biosciences,Luliconazole,Dermatology,Antifungals,East,MAT Aug 2026,43427612,27770009,148507,100983
Lulivan,Kestrel Biosciences,Luliconazole,Dermatology,Antifungals,Central,MAT Aug 2026,49957233,31375737,180821,120763
Sertazyl,Meridian Dermacare,Sertaconazole,Dermatology,Antifungals,North,MAT Aug 2026,186576030,167849127,541659,517031
Sertazyl,Meridian Dermacare,Sertaconazole,Dermatology,Antifungals,South,MAT Aug 2026,172167940,145638942,502681,451175
Sertazyl,Meridian Dermacare,Sertaconazole,Dermatology,Antifungals,West,MAT Aug 2026,193886642,172655187,609618,575993
Sertazyl,Meridian Dermacare,Sertaconazole,Dermatology,Antifungals,East,MAT Aug 2026,121236012,112674829,376874,371637
Sertazyl,Meridian Dermacare,Sertaconazole,Dermatology,Antifungals,Central,MAT Aug 2026,106133376,93608633,326490,305536
Soranil,Aurex Life Sciences,Luliconazole,Dermatology,Antifungals,North,MAT Aug 2026,666290024,613530586,2000769,1925175
Soranil,Aurex Life Sciences,Luliconazole,Dermatology,Antifungals,South,MAT Aug 2026,190505360,180664747,604467,599017
Soranil,Aurex Life Sciences,Luliconazole,Dermatology,Antifungals,West,MAT Aug 2026,606241864,565387745,1766993,1722010
Soranil,Aurex Life Sciences,Luliconazole,Dermatology,Antifungals,East,MAT Aug 2026,245722595,231509040,724717,713496
Soranil,Aurex Life Sciences,Luliconazole,Dermatology,Antifungals,Central,MAT Aug 2026,151240157,138978056,478908,459866
Terbiflex,Sanchit Remedies,Terbinafine,Dermatology,Antifungals,North,MAT Aug 2026,64084001,71089864,175162,205452
Terbiflex,Sanchit Remedies,Terbinafine,Dermatology,Antifungals,West,MAT Aug 2026,51826880,56048815,140095,160194
Terbiflex,Sanchit Remedies,Terbinafine,Dermatology,Antifungals,East,MAT Aug 2026,44089119,50173075,113233,136246
Terbimax,Zenova Pharma,Terbinafine,Dermatology,Antifungals,North,MAT Aug 2026,206146972,211630358,599101,644679
Terbimax,Zenova Pharma,Terbinafine,Dermatology,Antifungals,South,MAT Aug 2026,140124833,137092849,444133,455466
Terbimax,Zenova Pharma,Terbinafine,Dermatology,Antifungals,West,MAT Aug 2026,145906677,144518851,471294,489310
Terbimax,Zenova Pharma,Terbinafine,Dermatology,Antifungals,East,MAT Aug 2026,114138705,122137756,354897,398072
Terbimax,Zenova Pharma,Terbinafine,Dermatology,Antifungals,Central,MAT Aug 2026,103682814,106644124,309770,333974
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,247882655,209145273,456508,402869
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,216546968,169780986,390939,320597
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,290628019,239603175,520133,448522
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,142789356,120027041,259364,228037
Ceravita,Sable & Co Pharma,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,142153002,116521014,244941,210002
Cerawell,Meridian Dermacare,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,57948811,46556739,102009,86776
Cerawell,Meridian Dermacare,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,52007258,39460149,88643,71213
Cerawell,Meridian Dermacare,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,59330546,46142094,98020,80715
Cerawell,Meridian Dermacare,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,30565315,24686966,53147,45450
Cerawell,Meridian Dermacare,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,30148069,23935442,49427,41550
Emollex,Elvia Sciences,Urea,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,81783200,72513002,136561,128243
Emollex,Elvia Sciences,Urea,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,35310013,32795183,56045,55132
Emollex,Elvia Sciences,Urea,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,52906786,46462850,85926,79924
Glycolux,Nuvia Life,Glycolic Acid,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,129371942,113279294,245306,228870
Glycolux,Nuvia Life,Glycolic Acid,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,115746013,94502917,222905,193922
Glycolux,Nuvia Life,Glycolic Acid,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,110348529,92320000,202317,180356
Glycolux,Nuvia Life,Glycolic Acid,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,81005365,71107092,157152,146990
Glycolux,Nuvia Life,Glycolic Acid,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,73528151,61893360,147357,132169
Hydraderm,Pentara Labs,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,101549818,92853896,184367,179573
Hydraderm,Pentara Labs,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,129961630,112977752,216223,200224
Hydraderm,Pentara Labs,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,92197772,81930238,158192,149742
Hydraderm,Pentara Labs,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,77104165,71971513,138413,137624
Hydraderm,Pentara Labs,Ceramide Complex,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,59186615,53924407,100393,97432
Moistura,Indus Cutis,Urea,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,52794927,50514110,116582,115868
Moistura,Indus Cutis,Urea,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,66909512,59599620,147456,136437
Moistura,Indus Cutis,Urea,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,63681774,58823191,137390,131827
Moistura,Indus Cutis,Urea,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,28874628,27904217,61799,62037
Moistura,Indus Cutis,Urea,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,27739159,25858811,56962,55159
Solguard,Aurex Life Sciences,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,118567499,104506558,176566,161397
Solguard,Aurex Life Sciences,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,80087761,65825788,128609,109625
Solguard,Aurex Life Sciences,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,87564482,75418340,128477,114758
Solguard,Aurex Life Sciences,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,45027944,40656312,71131,66606
Solguard,Aurex Life Sciences,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,58752314,50856567,88883,79790
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,269141326,220921073,394685,341401
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,200826074,153084061,295529,237392
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,164842671,131154629,252316,211551
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,111381038,92772338,168638,148020
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,123808891,100020060,193798,164984
Sunvia,Zenova Pharma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,87866457,74016847,184144,164176
Sunvia,Zenova Pharma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,77790345,62776624,165893,141692
Sunvia,Zenova Pharma,Sunscreen Filters,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,44343198,38543081,88099,81047
Urexoft,Crestlin Pharma,Urea,Dermatology,Dermo-Cosmetics & Emollients,North,MAT Aug 2026,145491224,129775676,256002,242954
Urexoft,Crestlin Pharma,Urea,Dermatology,Dermo-Cosmetics & Emollients,South,MAT Aug 2026,161294506,136257734,268367,241209
Urexoft,Crestlin Pharma,Urea,Dermatology,Dermo-Cosmetics & Emollients,West,MAT Aug 2026,152190134,133436267,269243,251163
Urexoft,Crestlin Pharma,Urea,Dermatology,Dermo-Cosmetics & Emollients,East,MAT Aug 2026,71794880,66098008,118870,116437
Urexoft,Crestlin Pharma,Urea,Dermatology,Dermo-Cosmetics & Emollients,Central,MAT Aug 2026,99229255,86970867,169970,158501
Apremid,Nordic Remedies India,Apremilast,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,240950950,186207553,92311,73933
Apremid,Nordic Remedies India,Apremilast,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,215579076,158137742,80440,61153
Apremid,Nordic Remedies India,Apremilast,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,195660863,145056855,77152,59279
Apremid,Nordic Remedies India,Apremilast,Dermatology,Psoriasis & Immunology,East,MAT Aug 2026,117161916,92151048,45167,36818
Apremid,Nordic Remedies India,Apremilast,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,110647195,83377899,43985,34350
Apretab,Halcyon Pharma,Apremilast,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,75847376,53537786,39316,28787
Apretab,Halcyon Pharma,Apremilast,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,58528723,43230963,29797,22829
Apretab,Halcyon Pharma,Apremilast,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,45623901,33897112,22815,17583
Apreza,Solvex Pharma,Apremilast,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,69197270,50983619,32371,25351
Apreza,Solvex Pharma,Apremilast,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,58512364,41494926,27762,20926
Apreza,Solvex Pharma,Apremilast,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,67216651,48959308,31996,24771
Apreza,Solvex Pharma,Apremilast,Dermatology,Psoriasis & Immunology,East,MAT Aug 2026,44187286,33458380,21622,17402
Apreza,Solvex Pharma,Apremilast,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,50886430,37269090,24650,19189
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,183266907,149321555,68656,58016
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,168656187,128460514,66985,52914
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,184450462,146867904,74864,61823
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Dermatology,Psoriasis & Immunology,East,MAT Aug 2026,107195633,88939496,40994,35275
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,116430811,93004824,46258,38322
Metholan,Zenova Pharma,Methotrexate,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,81271725,76460779,40803,40453
Metholan,Zenova Pharma,Methotrexate,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,76560735,67941599,38806,36290
Metholan,Zenova Pharma,Methotrexate,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,77323659,70772223,34951,33711
Metholan,Zenova Pharma,Methotrexate,Dermatology,Psoriasis & Immunology,East,MAT Aug 2026,43595516,41281121,19731,19689
Metholan,Zenova Pharma,Methotrexate,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,51248365,46826279,23177,22316
Psorilite,Bharat Cutis,Calcipotriol,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,39458289,34853111,15673,14368
Psorilite,Bharat Cutis,Calcipotriol,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,43251355,35590119,16894,14428
Psorilite,Bharat Cutis,Calcipotriol,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,37290356,31762553,13810,12208
Psorinex,Kritika Labs,Calcipotriol,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,128505845,109091875,61706,54701
Psorinex,Kritika Labs,Calcipotriol,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,100731312,81565110,48375,40904
Psorinex,Kritika Labs,Calcipotriol,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,112271692,94302563,50041,43891
Psorinex,Kritika Labs,Calcipotriol,Dermatology,Psoriasis & Immunology,East,MAT Aug 2026,72126529,62684263,34567,31371
Psorinex,Kritika Labs,Calcipotriol,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,76364622,64560283,34319,30297
Secukin-D,Meridian Dermacare,Secukinumab,Dermatology,Psoriasis & Immunology,North,MAT Aug 2026,125167016,87672880,52207,38100
Secukin-D,Meridian Dermacare,Secukinumab,Dermatology,Psoriasis & Immunology,South,MAT Aug 2026,91151357,61303241,40836,28615
Secukin-D,Meridian Dermacare,Secukinumab,Dermatology,Psoriasis & Immunology,West,MAT Aug 2026,104923961,72243366,42586,30550
Secukin-D,Meridian Dermacare,Secukinumab,Dermatology,Psoriasis & Immunology,East,MAT Aug 2026,48715657,35008041,20550,15387
Secukin-D,Meridian Dermacare,Secukinumab,Dermatology,Psoriasis & Immunology,Central,MAT Aug 2026,70042009,48594050,31019,22422
Fusicare,Amaris Pharma,Fusidic Acid,Dermatology,Topical Antibacterials,North,MAT Aug 2026,56220236,55308235,237545,246225
Fusicare,Amaris Pharma,Fusidic Acid,Dermatology,Topical Antibacterials,South,MAT Aug 2026,58697068,53353469,227109,217505
