BRAND,COMPANY,MOLECULE,SEGMENT,REGION,MAT_SALES,MAT_GR
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermo-Cosmetics & Emollients,West,164842671,25.69
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermo-Cosmetics & Emollients,East,111381038,20.06
Suncora SPF,Orbis Derma,Sunscreen Filters,Dermo-Cosmetics & Emollients,Central,123808891,23.78
Sunvia,Zenova Pharma,Sunscreen Filters,Dermo-Cosmetics & Emollients,North,87866457,18.71
Sunvia,Zenova Pharma,Sunscreen Filters,Dermo-Cosmetics & Emollients,South,77790345,23.92
Sunvia,Zenova Pharma,Sunscreen Filters,Dermo-Cosmetics & Emollients,East,44343198,15.05
Urexoft,Crestlin Pharma,Urea,Dermo-Cosmetics & Emollients,North,145491224,12.11
Urexoft,Crestlin Pharma,Urea,Dermo-Cosmetics & Emollients,South,161294506,18.37
Urexoft,Crestlin Pharma,Urea,Dermo-Cosmetics & Emollients,West,152190134,14.05
Urexoft,Crestlin Pharma,Urea,Dermo-Cosmetics & Emollients,East,71794880,8.62
Urexoft,Crestlin Pharma,Urea,Dermo-Cosmetics & Emollients,Central,99229255,14.09
Apremid,Nordic Remedies India,Apremilast,Psoriasis & Immunology,North,240950950,29.4
Apremid,Nordic Remedies India,Apremilast,Psoriasis & Immunology,South,215579076,36.32
Apremid,Nordic Remedies India,Apremilast,Psoriasis & Immunology,West,195660863,34.89
Apremid,Nordic Remedies India,Apremilast,Psoriasis & Immunology,East,117161916,27.14
Apremid,Nordic Remedies India,Apremilast,Psoriasis & Immunology,Central,110647195,32.71
Apretab,Halcyon Pharma,Apremilast,Psoriasis & Immunology,South,75847376,41.67
Apretab,Halcyon Pharma,Apremilast,Psoriasis & Immunology,West,58528723,35.39
Apretab,Halcyon Pharma,Apremilast,Psoriasis & Immunology,Central,45623901,34.6
Apreza,Solvex Pharma,Apremilast,Psoriasis & Immunology,North,69197270,35.72
Apreza,Solvex Pharma,Apremilast,Psoriasis & Immunology,South,58512364,41.01
Apreza,Solvex Pharma,Apremilast,Psoriasis & Immunology,West,67216651,37.29
Apreza,Solvex Pharma,Apremilast,Psoriasis & Immunology,East,44187286,32.07
Apreza,Solvex Pharma,Apremilast,Psoriasis & Immunology,Central,50886430,36.54
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Psoriasis & Immunology,North,183266907,22.73
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Psoriasis & Immunology,South,168656187,31.29
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Psoriasis & Immunology,West,184450462,25.59
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Psoriasis & Immunology,East,107195633,20.53
Calcipro,Vantiva Healthcare,Calcipotriol + Betamethasone,Psoriasis & Immunology,Central,116430811,25.19
Metholan,Zenova Pharma,Methotrexate,Psoriasis & Immunology,North,81271725,6.29
Metholan,Zenova Pharma,Methotrexate,Psoriasis & Immunology,South,76560735,12.69
Metholan,Zenova Pharma,Methotrexate,Psoriasis & Immunology,West,77323659,9.26
Metholan,Zenova Pharma,Methotrexate,Psoriasis & Immunology,East,43595516,5.61
Metholan,Zenova Pharma,Methotrexate,Psoriasis & Immunology,Central,51248365,9.44
Psorilite,Bharat Cutis,Calcipotriol,Psoriasis & Immunology,North,39458289,13.21
Psorilite,Bharat Cutis,Calcipotriol,Psoriasis & Immunology,South,43251355,21.53
Psorilite,Bharat Cutis,Calcipotriol,Psoriasis & Immunology,West,37290356,17.4
Psorinex,Kritika Labs,Calcipotriol,Psoriasis & Immunology,North,128505845,17.8
Psorinex,Kritika Labs,Calcipotriol,Psoriasis & Immunology,South,100731312,23.5
Psorinex,Kritika Labs,Calcipotriol,Psoriasis & Immunology,West,112271692,19.05
Psorinex,Kritika Labs,Calcipotriol,Psoriasis & Immunology,East,72126529,15.06
Psorinex,Kritika Labs,Calcipotriol,Psoriasis & Immunology,Central,76364622,18.28
Secukin-D,Meridian Dermacare,Secukinumab,Psoriasis & Immunology,North,125167016,42.77
Secukin-D,Meridian Dermacare,Secukinumab,Psoriasis & Immunology,South,91151357,48.69
Secukin-D,Meridian Dermacare,Secukinumab,Psoriasis & Immunology,West,104923961,45.24
Secukin-D,Meridian Dermacare,Secukinumab,Psoriasis & Immunology,East,48715657,39.16
Secukin-D,Meridian Dermacare,Secukinumab,Psoriasis & Immunology,Central,70042009,44.14
Fusicare,Amaris Pharma,Fusidic Acid,Topical Antibacterials,North,56220236,1.65
Fusicare,Amaris Pharma,Fusidic Acid,Topical Antibacterials,South,58697068,10.02
Fusicare,Amaris Pharma,Fusidic Acid,Topical Antibacterials,West,47123644,5.08
Fusicare,Amaris Pharma,Fusidic Acid,Topical Antibacterials,East,33255706,-1.65
Fusicare,Amaris Pharma,Fusidic Acid,Topical Antibacterials,Central,24703346,3.84
Fusiderm,Cygnet Derma,Fusidic Acid,Topical Antibacterials,North,143212401,7.04
Fusiderm,Cygnet Derma,Fusidic Acid,Topical Antibacterials,South,168568447,14.26
Fusiderm,Cygnet Derma,Fusidic Acid,Topical Antibacterials,West,127144948,9.99
Fusiderm,Cygnet Derma,Fusidic Acid,Topical Antibacterials,East,80031324,3.8
Fusiderm,Cygnet Derma,Fusidic Acid,Topical Antibacterials,Central,101042880,7.54
Mupiban,Rivona Labs,Mupirocin,Topical Antibacterials,North,88683824,-5.58
Mupiban,Rivona Labs,Mupirocin,Topical Antibacterials,South,70731017,2.89
Mupiban,Rivona Labs,Mupirocin,Topical Antibacterials,West,66640557,-2.38
Mupiban,Rivona Labs,Mupirocin,Topical Antibacterials,East,36129916,-6.78
Mupiban,Rivona Labs,Mupirocin,Topical Antibacterials,Central,47814686,-1.17
Mupicare,Kritika Labs,Mupirocin,Topical Antibacterials,North,55030860,3.97
Mupicare,Kritika Labs,Mupirocin,Topical Antibacterials,South,42798088,10.43
Mupicare,Kritika Labs,Mupirocin,Topical Antibacterials,West,42171052,6.43
Mupirex,Aventra Healthcare,Mupirocin,Topical Antibacterials,North,208115809,8.01
Mupirex,Aventra Healthcare,Mupirocin,Topical Antibacterials,South,201359303,13.68
Mupirex,Aventra Healthcare,Mupirocin,Topical Antibacterials,West,180125137,11.68
Mupirex,Aventra Healthcare,Mupirocin,Topical Antibacterials,East,102229870,3.51
Mupirex,Aventra Healthcare,Mupirocin,Topical Antibacterials,Central,98169881,9.03
Nadicin,Halcyon Pharma,Nadifloxacin,Topical Antibacterials,North,95680053,11.29
Nadicin,Halcyon Pharma,Nadifloxacin,Topical Antibacterials,South,107141227,18.72
Nadicin,Halcyon Pharma,Nadifloxacin,Topical Antibacterials,West,84234454,16.93
Nadicin,Halcyon Pharma,Nadifloxacin,Topical Antibacterials,East,55665492,10.49
Nadicin,Halcyon Pharma,Nadifloxacin,Topical Antibacterials,Central,67278774,15.61
Nadiflex,Solvex Pharma,Nadifloxacin,Topical Antibacterials,North,40973107,8.72
Nadiflex,Solvex Pharma,Nadifloxacin,Topical Antibacterials,South,36125303,16.58
Nadiflex,Solvex Pharma,Nadifloxacin,Topical Antibacterials,West,32901590,12.14
Clobenol,Nuvia Life,Clobetasol,Topical Corticosteroids,North,258106108,1.84
Clobenol,Nuvia Life,Clobetasol,Topical Corticosteroids,South,260271217,9.3
Clobenol,Nuvia Life,Clobetasol,Topical Corticosteroids,West,169193978,4.23
Clobenol,Nuvia Life,Clobetasol,Topical Corticosteroids,East,123816544,-1.19
Clobenol,Nuvia Life,Clobetasol,Topical Corticosteroids,Central,148612153,4.95
Clobetal,Aventra Healthcare,Clobetasol,Topical Corticosteroids,North,64755922,-5.9
Clobetal,Aventra Healthcare,Clobetasol,Topical Corticosteroids,South,88713124,1.04
Clobetal,Aventra Healthcare,Clobetasol,Topical Corticosteroids,West,79277479,-1.65
Clobetal,Aventra Healthcare,Clobetasol,Topical Corticosteroids,East,46098839,-8.24
Clobetal,Aventra Healthcare,Clobetasol,Topical Corticosteroids,Central,51154636,-5.39
Clobix,Lumis Pharma,Clobetasol,Topical Corticosteroids,North,56619611,-4.6
Clobix,Lumis Pharma,Clobetasol,Topical Corticosteroids,West,49204819,0.6
Clobix,Lumis Pharma,Clobetasol,Topical Corticosteroids,East,24175570,-4.86
Desonex,Indus Cutis,Desonide,Topical Corticosteroids,North,127699626,11.76
Desonex,Indus Cutis,Desonide,Topical Corticosteroids,South,92374672,20.02
Desonex,Indus Cutis,Desonide,Topical Corticosteroids,West,79651570,15.96
Desonex,Indus Cutis,Desonide,Topical Corticosteroids,East,69574285,8.79
Desonex,Indus Cutis,Desonide,Topical Corticosteroids,Central,70699847,14.31
Flutiderm,Cygnet Derma,Fluticasone,Topical Corticosteroids,North,73120182,6.96
Flutiderm,Cygnet Derma,Fluticasone,Topical Corticosteroids,South,69290337,11.7
Flutiderm,Cygnet Derma,Fluticasone,Topical Corticosteroids,East,37589481,5.41
Flutizone,Pentara Labs,Fluticasone,Topical Corticosteroids,North,181457094,6.63
Flutizone,Pentara Labs,Fluticasone,Topical Corticosteroids,South,155184192,15.78
Flutizone,Pentara Labs,Fluticasone,Topical Corticosteroids,West,166960792,11.43
Flutizone,Pentara Labs,Fluticasone,Topical Corticosteroids,East,106059434,4.36
Flutizone,Pentara Labs,Fluticasone,Topical Corticosteroids,Central,130338489,9.63
Halobet,Sable & Co Pharma,Halobetasol,Topical Corticosteroids,North,144769923,-3.87
Halobet,Sable & Co Pharma,Halobetasol,Topical Corticosteroids,South,138825996,4.63
Halobet,Sable & Co Pharma,Halobetasol,Topical Corticosteroids,West,101279488,1.22
Halobet,Sable & Co Pharma,Halobetasol,Topical Corticosteroids,East,71963725,-5.57
Halobet,Sable & Co Pharma,Halobetasol,Topical Corticosteroids,Central,63160867,0.23
Momecort,Crestlin Pharma,Mometasone,Topical Corticosteroids,North,389159565,5.34
Momecort,Crestlin Pharma,Mometasone,Topical Corticosteroids,South,284956521,12.19
Momecort,Crestlin Pharma,Mometasone,Topical Corticosteroids,West,345908997,9.65
Momecort,Crestlin Pharma,Mometasone,Topical Corticosteroids,East,207323441,3.97
Momecort,Crestlin Pharma,Mometasone,Topical Corticosteroids,Central,192651477,8.98
Momeflex,Aurex Life Sciences,Mometasone,Topical Corticosteroids,North,151275391,4.15
Momeflex,Aurex Life Sciences,Mometasone,Topical Corticosteroids,South,156305618,12.1
Momeflex,Aurex Life Sciences,Mometasone,Topical Corticosteroids,West,143092034,7.3
Momeflex,Aurex Life Sciences,Mometasone,Topical Corticosteroids,East,82895053,2.54
Momeflex,Aurex Life Sciences,Mometasone,Topical Corticosteroids,Central,76431904,5.84
Momesol,Verdant Derma,Mometasone,Topical Corticosteroids,North,56696750,2.86
Momesol,Verdant Derma,Mometasone,Topical Corticosteroids,South,65692054,11.76
Momesol,Verdant Derma,Mometasone,Topical Corticosteroids,Central,27611196,4.55
Steroderm,Cygnet Derma,Mometasone,Topical Corticosteroids,North,65060868,8.16
Steroderm,Cygnet Derma,Mometasone,Topical Corticosteroids,South,78445926,15.76
Steroderm,Cygnet Derma,Mometasone,Topical Corticosteroids,West,59794053,12.43
Steroderm,Cygnet Derma,Mometasone,Topical Corticosteroids,East,41647977,6.69
Steroderm,Cygnet Derma,Mometasone,Topical Corticosteroids,Central,35051176,11.93
